"cell_type"	"negative_fraction"	"long_method"	"dataset"	"dataset2"	"ndim"
"MCF10A"	0.00980392156862745	"Signac_by_cluster_peaks"	"Cell line mixing experiment"	"Cell_line_mixing"	30
"MCF7"	0.00408163265306122	"Signac_by_cluster_peaks"	"Cell line mixing experiment"	"Cell_line_mixing"	30
"T24"	0	"Signac_by_cluster_peaks"	"Cell line mixing experiment"	"Cell_line_mixing"	30
"THP1"	0.00346020761245675	"Signac_by_cluster_peaks"	"Cell line mixing experiment"	"Cell_line_mixing"	30
"293T"	0.00841514726507714	"Signac_by_cluster_peaks"	"Cell line mixing experiment"	"Cell_line_mixing"	50
"GM12878"	0.990262489415749	"Signac_by_cluster_peaks"	"Cell line mixing experiment"	"Cell_line_mixing"	50
"HT1080"	1	"Signac_by_cluster_peaks"	"Cell line mixing experiment"	"Cell_line_mixing"	50
"HeLa"	0.00176444640494045	"Signac_by_cluster_peaks"	"Cell line mixing experiment"	"Cell_line_mixing"	50
"Jurkat"	0	"Signac_by_cluster_peaks"	"Cell line mixing experiment"	"Cell_line_mixing"	50
"K562"	0.0441292356185973	"Signac_by_cluster_peaks"	"Cell line mixing experiment"	"Cell_line_mixing"	50
"MCF10A"	0.00784313725490196	"Signac_by_cluster_peaks"	"Cell line mixing experiment"	"Cell_line_mixing"	50
"MCF7"	0.00204081632653061	"Signac_by_cluster_peaks"	"Cell line mixing experiment"	"Cell_line_mixing"	50
"T24"	0	"Signac_by_cluster_peaks"	"Cell line mixing experiment"	"Cell_line_mixing"	50
"THP1"	0.00346020761245675	"Signac_by_cluster_peaks"	"Cell line mixing experiment"	"Cell_line_mixing"	50
"293T"	0.0342215988779804	"Signac_by_cluster_peaks"	"Cell line mixing experiment"	"Cell_line_mixing"	100
"GM12878"	1	"Signac_by_cluster_peaks"	"Cell line mixing experiment"	"Cell_line_mixing"	100
"HT1080"	1	"Signac_by_cluster_peaks"	"Cell line mixing experiment"	"Cell_line_mixing"	100
"HeLa"	0.00485222761358624	"Signac_by_cluster_peaks"	"Cell line mixing experiment"	"Cell_line_mixing"	100
"Jurkat"	0.00528867342441604	"Signac_by_cluster_peaks"	"Cell line mixing experiment"	"Cell_line_mixing"	100
"K562"	0.0189125295508274	"Signac_by_cluster_peaks"	"Cell line mixing experiment"	"Cell_line_mixing"	100
"MCF10A"	0.00196078431372549	"Signac_by_cluster_peaks"	"Cell line mixing experiment"	"Cell_line_mixing"	100
"MCF7"	0	"Signac_by_cluster_peaks"	"Cell line mixing experiment"	"Cell_line_mixing"	100
"T24"	0.000436681222707424	"Signac_by_cluster_peaks"	"Cell line mixing experiment"	"Cell_line_mixing"	100
"THP1"	0.00346020761245675	"Signac_by_cluster_peaks"	"Cell line mixing experiment"	"Cell_line_mixing"	100
"293T"	0.000561009817671809	"Signac_all_cell_peaks"	"Cell line mixing experiment"	"Cell_line_mixing"	30
"GM12878"	0.671464860287892	"Signac_all_cell_peaks"	"Cell line mixing experiment"	"Cell_line_mixing"	30
"HT1080"	0.348055870139675	"Signac_all_cell_peaks"	"Cell line mixing experiment"	"Cell_line_mixing"	30
"HeLa"	0.00220555800617556	"Signac_all_cell_peaks"	"Cell line mixing experiment"	"Cell_line_mixing"	30
"Jurkat"	0	"Signac_all_cell_peaks"	"Cell line mixing experiment"	"Cell_line_mixing"	30
"K562"	0.0386130811662727	"Signac_all_cell_peaks"	"Cell line mixing experiment"	"Cell_line_mixing"	30
"MCF10A"	0.00784313725490196	"Signac_all_cell_peaks"	"Cell line mixing experiment"	"Cell_line_mixing"	30
"MCF7"	0.00204081632653061	"Signac_all_cell_peaks"	"Cell line mixing experiment"	"Cell_line_mixing"	30
"T24"	0	"Signac_all_cell_peaks"	"Cell line mixing experiment"	"Cell_line_mixing"	30
"THP1"	0.00346020761245675	"Signac_all_cell_peaks"	"Cell line mixing experiment"	"Cell_line_mixing"	30
"293T"	0.0591865357643759	"Signac_all_cell_peaks"	"Cell line mixing experiment"	"Cell_line_mixing"	50
"GM12878"	0.96740050804403	"Signac_all_cell_peaks"	"Cell line mixing experiment"	"Cell_line_mixing"	50
"HT1080"	1	"Signac_all_cell_peaks"	"Cell line mixing experiment"	"Cell_line_mixing"	50
"HeLa"	0.00529333921482135	"Signac_all_cell_peaks"	"Cell line mixing experiment"	"Cell_line_mixing"	50
"Jurkat"	0.000440722785368004	"Signac_all_cell_peaks"	"Cell line mixing experiment"	"Cell_line_mixing"	50
"K562"	0.0480693459416864	"Signac_all_cell_peaks"	"Cell line mixing experiment"	"Cell_line_mixing"	50
"MCF10A"	0.00392156862745098	"Signac_all_cell_peaks"	"Cell line mixing experiment"	"Cell_line_mixing"	50
"MCF7"	0.00204081632653061	"Signac_all_cell_peaks"	"Cell line mixing experiment"	"Cell_line_mixing"	50
"T24"	0	"Signac_all_cell_peaks"	"Cell line mixing experiment"	"Cell_line_mixing"	50
"THP1"	0.00346020761245675	"Signac_all_cell_peaks"	"Cell line mixing experiment"	"Cell_line_mixing"	50
"293T"	0.415988779803647	"Signac_all_cell_peaks"	"Cell line mixing experiment"	"Cell_line_mixing"	100
"GM12878"	1	"Signac_all_cell_peaks"	"Cell line mixing experiment"	"Cell_line_mixing"	100
"HT1080"	1	"Signac_all_cell_peaks"	"Cell line mixing experiment"	"Cell_line_mixing"	100
"HeLa"	0.0194089104543449	"Signac_all_cell_peaks"	"Cell line mixing experiment"	"Cell_line_mixing"	100
"Jurkat"	0.00176289114147201	"Signac_all_cell_peaks"	"Cell line mixing experiment"	"Cell_line_mixing"	100
"K562"	0.0244286840031521	"Signac_all_cell_peaks"	"Cell line mixing experiment"	"Cell_line_mixing"	100
"MCF10A"	0.00196078431372549	"Signac_all_cell_peaks"	"Cell line mixing experiment"	"Cell_line_mixing"	100
"MCF7"	0	"Signac_all_cell_peaks"	"Cell line mixing experiment"	"Cell_line_mixing"	100
"T24"	0.077292576419214	"Signac_all_cell_peaks"	"Cell line mixing experiment"	"Cell_line_mixing"	100
"THP1"	0.00346020761245675	"Signac_all_cell_peaks"	"Cell line mixing experiment"	"Cell_line_mixing"	100
"293T"	0.00308555399719495	"ArchR_tiles"	"Cell line mixing experiment"	"Cell_line_mixing"	30
"GM12878"	0.0254022015241321	"ArchR_tiles"	"Cell line mixing experiment"	"Cell_line_mixing"	30
"HT1080"	0.198187995469989	"ArchR_tiles"	"Cell line mixing experiment"	"Cell_line_mixing"	30
"HeLa"	0.100132333480371	"ArchR_tiles"	"Cell line mixing experiment"	"Cell_line_mixing"	30
"Jurkat"	0.00881445570736007	"ArchR_tiles"	"Cell line mixing experiment"	"Cell_line_mixing"	30
"K562"	0.0417651694247439	"ArchR_tiles"	"Cell line mixing experiment"	"Cell_line_mixing"	30
"MCF10A"	0	"ArchR_tiles"	"Cell line mixing experiment"	"Cell_line_mixing"	30
"MCF7"	0.0224489795918367	"ArchR_tiles"	"Cell line mixing experiment"	"Cell_line_mixing"	30
"T24"	0.0729257641921397	"ArchR_tiles"	"Cell line mixing experiment"	"Cell_line_mixing"	30
"THP1"	0.00576701268742791	"ArchR_tiles"	"Cell line mixing experiment"	"Cell_line_mixing"	30
"293T"	0.0182328190743338	"ArchR_tiles"	"Cell line mixing experiment"	"Cell_line_mixing"	50
"GM12878"	0.0622353937341236	"ArchR_tiles"	"Cell line mixing experiment"	"Cell_line_mixing"	50
"HT1080"	0.331823329558324	"ArchR_tiles"	"Cell line mixing experiment"	"Cell_line_mixing"	50
"HeLa"	0.220114689016321	"ArchR_tiles"	"Cell line mixing experiment"	"Cell_line_mixing"	50
"Jurkat"	0.0295284266196562	"ArchR_tiles"	"Cell line mixing experiment"	"Cell_line_mixing"	50
"K562"	0.0788022064617809	"ArchR_tiles"	"Cell line mixing experiment"	"Cell_line_mixing"	50
"MCF10A"	0	"ArchR_tiles"	"Cell line mixing experiment"	"Cell_line_mixing"	50
"MCF7"	0.0326530612244898	"ArchR_tiles"	"Cell line mixing experiment"	"Cell_line_mixing"	50
"T24"	0.20174672489083	"ArchR_tiles"	"Cell line mixing experiment"	"Cell_line_mixing"	50
"THP1"	0.0253748558246828	"ArchR_tiles"	"Cell line mixing experiment"	"Cell_line_mixing"	50
"293T"	0.0406732117812062	"ArchR_tiles"	"Cell line mixing experiment"	"Cell_line_mixing"	100
"GM12878"	0.0774767146486029	"ArchR_tiles"	"Cell line mixing experiment"	"Cell_line_mixing"	100
"HT1080"	0.48320120800302	"ArchR_tiles"	"Cell line mixing experiment"	"Cell_line_mixing"	100
"HeLa"	0.322893692104102	"ArchR_tiles"	"Cell line mixing experiment"	"Cell_line_mixing"	100
"Jurkat"	0.0326134861172323	"ArchR_tiles"	"Cell line mixing experiment"	"Cell_line_mixing"	100
"K562"	0.0843183609141056	"ArchR_tiles"	"Cell line mixing experiment"	"Cell_line_mixing"	100
"MCF10A"	0	"ArchR_tiles"	"Cell line mixing experiment"	"Cell_line_mixing"	100
"MCF7"	0.0224489795918367	"ArchR_tiles"	"Cell line mixing experiment"	"Cell_line_mixing"	100
"T24"	0.258951965065502	"ArchR_tiles"	"Cell line mixing experiment"	"Cell_line_mixing"	100
"THP1"	0.0184544405997693	"ArchR_tiles"	"Cell line mixing experiment"	"Cell_line_mixing"	100
"293T"	0.0106591865357644	"ArchR_peaks"	"Cell line mixing experiment"	"Cell_line_mixing"	30
"GM12878"	0.04614733276884	"ArchR_peaks"	"Cell line mixing experiment"	"Cell_line_mixing"	30
"HT1080"	0.257078142695357	"ArchR_peaks"	"Cell line mixing experiment"	"Cell_line_mixing"	30
"HeLa"	0.136744596382885	"ArchR_peaks"	"Cell line mixing experiment"	"Cell_line_mixing"	30
"Jurkat"	0.0185103569854561	"ArchR_peaks"	"Cell line mixing experiment"	"Cell_line_mixing"	30
"K562"	0.0598896769109535	"ArchR_peaks"	"Cell line mixing experiment"	"Cell_line_mixing"	30
"MCF10A"	0	"ArchR_peaks"	"Cell line mixing experiment"	"Cell_line_mixing"	30
"MCF7"	0.026530612244898	"ArchR_peaks"	"Cell line mixing experiment"	"Cell_line_mixing"	30
"T24"	0.12707423580786	"ArchR_peaks"	"Cell line mixing experiment"	"Cell_line_mixing"	30
"THP1"	0.0126874279123414	"ArchR_peaks"	"Cell line mixing experiment"	"Cell_line_mixing"	30
"293T"	0.00925666199158485	"ArchR_peaks"	"Cell line mixing experiment"	"Cell_line_mixing"	50
"GM12878"	0.050381033022862	"ArchR_peaks"	"Cell line mixing experiment"	"Cell_line_mixing"	50
"HT1080"	0.292185730464326	"ArchR_peaks"	"Cell line mixing experiment"	"Cell_line_mixing"	50
"HeLa"	0.127922364358183	"ArchR_peaks"	"Cell line mixing experiment"	"Cell_line_mixing"	50
"Jurkat"	0.0149845747025121	"ArchR_peaks"	"Cell line mixing experiment"	"Cell_line_mixing"	50
"K562"	0.0488573680063042	"ArchR_peaks"	"Cell line mixing experiment"	"Cell_line_mixing"	50
"MCF10A"	0	"ArchR_peaks"	"Cell line mixing experiment"	"Cell_line_mixing"	50
"MCF7"	0.0142857142857143	"ArchR_peaks"	"Cell line mixing experiment"	"Cell_line_mixing"	50
"T24"	0.107423580786026	"ArchR_peaks"	"Cell line mixing experiment"	"Cell_line_mixing"	50
"THP1"	0.0103806228373702	"ArchR_peaks"	"Cell line mixing experiment"	"Cell_line_mixing"	50
"293T"	0.0370266479663394	"ArchR_peaks"	"Cell line mixing experiment"	"Cell_line_mixing"	100
"GM12878"	0.0973751058425063	"ArchR_peaks"	"Cell line mixing experiment"	"Cell_line_mixing"	100
"HT1080"	0.513401283503209	"ArchR_peaks"	"Cell line mixing experiment"	"Cell_line_mixing"	100
"HeLa"	0.295544772827525	"ArchR_peaks"	"Cell line mixing experiment"	"Cell_line_mixing"	100
"Jurkat"	0.0405464962538563	"ArchR_peaks"	"Cell line mixing experiment"	"Cell_line_mixing"	100
"K562"	0.0811662726556344	"ArchR_peaks"	"Cell line mixing experiment"	"Cell_line_mixing"	100
"MCF10A"	0	"ArchR_peaks"	"Cell line mixing experiment"	"Cell_line_mixing"	100
"MCF7"	0.0163265306122449	"ArchR_peaks"	"Cell line mixing experiment"	"Cell_line_mixing"	100
"T24"	0.249781659388646	"ArchR_peaks"	"Cell line mixing experiment"	"Cell_line_mixing"	100
"THP1"	0.0173010380622837	"ArchR_peaks"	"Cell line mixing experiment"	"Cell_line_mixing"	100
"293T"	0	"SnapATAC1"	"Cell line mixing experiment"	"Cell_line_mixing"	30
"GM12878"	0.050381033022862	"SnapATAC1"	"Cell line mixing experiment"	"Cell_line_mixing"	30
"HT1080"	0.0249150622876557	"SnapATAC1"	"Cell line mixing experiment"	"Cell_line_mixing"	30
"HeLa"	0.980591089545655	"SnapATAC1"	"Cell line mixing experiment"	"Cell_line_mixing"	30
"Jurkat"	0.00661084178052005	"SnapATAC1"	"Cell line mixing experiment"	"Cell_line_mixing"	30
"K562"	0.268715524034673	"SnapATAC1"	"Cell line mixing experiment"	"Cell_line_mixing"	30
"MCF10A"	0.0627450980392157	"SnapATAC1"	"Cell line mixing experiment"	"Cell_line_mixing"	30
"MCF7"	0.0816326530612245	"SnapATAC1"	"Cell line mixing experiment"	"Cell_line_mixing"	30
"T24"	0.631441048034935	"SnapATAC1"	"Cell line mixing experiment"	"Cell_line_mixing"	30
"THP1"	0.0173010380622837	"SnapATAC1"	"Cell line mixing experiment"	"Cell_line_mixing"	30
"293T"	0	"SnapATAC1"	"Cell line mixing experiment"	"Cell_line_mixing"	50
"GM12878"	0.165114309906859	"SnapATAC1"	"Cell line mixing experiment"	"Cell_line_mixing"	50
"HT1080"	0.678746696866742	"SnapATAC1"	"Cell line mixing experiment"	"Cell_line_mixing"	50
"HeLa"	1	"SnapATAC1"	"Cell line mixing experiment"	"Cell_line_mixing"	50
"Jurkat"	0.0118995152049361	"SnapATAC1"	"Cell line mixing experiment"	"Cell_line_mixing"	50
"K562"	0.947202521670607	"SnapATAC1"	"Cell line mixing experiment"	"Cell_line_mixing"	50
"MCF10A"	0.874509803921569	"SnapATAC1"	"Cell line mixing experiment"	"Cell_line_mixing"	50
"MCF7"	0.706122448979592	"SnapATAC1"	"Cell line mixing experiment"	"Cell_line_mixing"	50
"T24"	1	"SnapATAC1"	"Cell line mixing experiment"	"Cell_line_mixing"	50
"THP1"	0.0507497116493656	"SnapATAC1"	"Cell line mixing experiment"	"Cell_line_mixing"	50
"293T"	0	"SnapATAC1"	"Cell line mixing experiment"	"Cell_line_mixing"	100
"GM12878"	0.870872142252329	"SnapATAC1"	"Cell line mixing experiment"	"Cell_line_mixing"	100
"HT1080"	1	"SnapATAC1"	"Cell line mixing experiment"	"Cell_line_mixing"	100
"HeLa"	1	"SnapATAC1"	"Cell line mixing experiment"	"Cell_line_mixing"	100
"Jurkat"	0.0290877038342882	"SnapATAC1"	"Cell line mixing experiment"	"Cell_line_mixing"	100
"K562"	1	"SnapATAC1"	"Cell line mixing experiment"	"Cell_line_mixing"	100
"MCF10A"	1	"SnapATAC1"	"Cell line mixing experiment"	"Cell_line_mixing"	100
"MCF7"	1	"SnapATAC1"	"Cell line mixing experiment"	"Cell_line_mixing"	100
"T24"	1	"SnapATAC1"	"Cell line mixing experiment"	"Cell_line_mixing"	100
"THP1"	0.918108419838524	"SnapATAC1"	"Cell line mixing experiment"	"Cell_line_mixing"	100
"293T"	0	"aggregation"	"Cell line mixing experiment"	"Cell_line_mixing"	30
"GM12878"	0.000423370025402202	"aggregation"	"Cell line mixing experiment"	"Cell_line_mixing"	30
"HT1080"	0.000377500943752359	"aggregation"	"Cell line mixing experiment"	"Cell_line_mixing"	30
"HeLa"	0.000441111601235112	"aggregation"	"Cell line mixing experiment"	"Cell_line_mixing"	30
"Jurkat"	0.000440722785368004	"aggregation"	"Cell line mixing experiment"	"Cell_line_mixing"	30
"K562"	0.0102442868400315	"aggregation"	"Cell line mixing experiment"	"Cell_line_mixing"	30
"MCF10A"	0.00784313725490196	"aggregation"	"Cell line mixing experiment"	"Cell_line_mixing"	30
"MCF7"	0.00612244897959184	"aggregation"	"Cell line mixing experiment"	"Cell_line_mixing"	30
"T24"	0	"aggregation"	"Cell line mixing experiment"	"Cell_line_mixing"	30
"THP1"	0.00346020761245675	"aggregation"	"Cell line mixing experiment"	"Cell_line_mixing"	30
"293T"	0	"aggregation"	"Cell line mixing experiment"	"Cell_line_mixing"	50
"GM12878"	0.000423370025402202	"aggregation"	"Cell line mixing experiment"	"Cell_line_mixing"	50
"HT1080"	0	"aggregation"	"Cell line mixing experiment"	"Cell_line_mixing"	50
"HeLa"	0.000441111601235112	"aggregation"	"Cell line mixing experiment"	"Cell_line_mixing"	50
"Jurkat"	0.000440722785368004	"aggregation"	"Cell line mixing experiment"	"Cell_line_mixing"	50
"K562"	0.0126083530338849	"aggregation"	"Cell line mixing experiment"	"Cell_line_mixing"	50
"MCF10A"	0.00980392156862745	"aggregation"	"Cell line mixing experiment"	"Cell_line_mixing"	50
"MCF7"	0.00816326530612245	"aggregation"	"Cell line mixing experiment"	"Cell_line_mixing"	50
"T24"	0	"aggregation"	"Cell line mixing experiment"	"Cell_line_mixing"	50
"THP1"	0.00346020761245675	"aggregation"	"Cell line mixing experiment"	"Cell_line_mixing"	50
"293T"	0	"aggregation"	"Cell line mixing experiment"	"Cell_line_mixing"	100
"GM12878"	0.000423370025402202	"aggregation"	"Cell line mixing experiment"	"Cell_line_mixing"	100
"HT1080"	0.000377500943752359	"aggregation"	"Cell line mixing experiment"	"Cell_line_mixing"	100
"HeLa"	0.000441111601235112	"aggregation"	"Cell line mixing experiment"	"Cell_line_mixing"	100
"Jurkat"	0.000440722785368004	"aggregation"	"Cell line mixing experiment"	"Cell_line_mixing"	100
"K562"	0.0133963750985028	"aggregation"	"Cell line mixing experiment"	"Cell_line_mixing"	100
"MCF10A"	0.00588235294117647	"aggregation"	"Cell line mixing experiment"	"Cell_line_mixing"	100
"MCF7"	0.0122448979591837	"aggregation"	"Cell line mixing experiment"	"Cell_line_mixing"	100
"T24"	0	"aggregation"	"Cell line mixing experiment"	"Cell_line_mixing"	100
"THP1"	0.00346020761245675	"aggregation"	"Cell line mixing experiment"	"Cell_line_mixing"	100
"293T"	0	"SnapATAC2_jaccard"	"Cell line mixing experiment"	"Cell_line_mixing"	30
"GM12878"	0.0791701947502117	"SnapATAC2_jaccard"	"Cell line mixing experiment"	"Cell_line_mixing"	30
"HT1080"	0.212910532276331	"SnapATAC2_jaccard"	"Cell line mixing experiment"	"Cell_line_mixing"	30
"HeLa"	0.975297750330834	"SnapATAC2_jaccard"	"Cell line mixing experiment"	"Cell_line_mixing"	30
"Jurkat"	0.0132216835610401	"SnapATAC2_jaccard"	"Cell line mixing experiment"	"Cell_line_mixing"	30
"K562"	0.131599684791174	"SnapATAC2_jaccard"	"Cell line mixing experiment"	"Cell_line_mixing"	30
"MCF10A"	0.36078431372549	"SnapATAC2_jaccard"	"Cell line mixing experiment"	"Cell_line_mixing"	30
"MCF7"	0.13469387755102	"SnapATAC2_jaccard"	"Cell line mixing experiment"	"Cell_line_mixing"	30
"T24"	1	"SnapATAC2_jaccard"	"Cell line mixing experiment"	"Cell_line_mixing"	30
"THP1"	0.0184544405997693	"SnapATAC2_jaccard"	"Cell line mixing experiment"	"Cell_line_mixing"	30
"293T"	0	"SnapATAC2_jaccard"	"Cell line mixing experiment"	"Cell_line_mixing"	50
"GM12878"	0.396274343776461	"SnapATAC2_jaccard"	"Cell line mixing experiment"	"Cell_line_mixing"	50
"HT1080"	0.993959984899962	"SnapATAC2_jaccard"	"Cell line mixing experiment"	"Cell_line_mixing"	50
"HeLa"	1	"SnapATAC2_jaccard"	"Cell line mixing experiment"	"Cell_line_mixing"	50
"Jurkat"	0.0233583076245042	"SnapATAC2_jaccard"	"Cell line mixing experiment"	"Cell_line_mixing"	50
"K562"	0.494877856579984	"SnapATAC2_jaccard"	"Cell line mixing experiment"	"Cell_line_mixing"	50
"MCF10A"	0.986274509803922	"SnapATAC2_jaccard"	"Cell line mixing experiment"	"Cell_line_mixing"	50
"MCF7"	0.546938775510204	"SnapATAC2_jaccard"	"Cell line mixing experiment"	"Cell_line_mixing"	50
"T24"	1	"SnapATAC2_jaccard"	"Cell line mixing experiment"	"Cell_line_mixing"	50
"THP1"	0.055363321799308	"SnapATAC2_jaccard"	"Cell line mixing experiment"	"Cell_line_mixing"	50
"293T"	0	"SnapATAC2_jaccard"	"Cell line mixing experiment"	"Cell_line_mixing"	100
"GM12878"	0.993226079593565	"SnapATAC2_jaccard"	"Cell line mixing experiment"	"Cell_line_mixing"	100
"HT1080"	1	"SnapATAC2_jaccard"	"Cell line mixing experiment"	"Cell_line_mixing"	100
"HeLa"	1	"SnapATAC2_jaccard"	"Cell line mixing experiment"	"Cell_line_mixing"	100
"Jurkat"	0.230057293962098	"SnapATAC2_jaccard"	"Cell line mixing experiment"	"Cell_line_mixing"	100
"K562"	1	"SnapATAC2_jaccard"	"Cell line mixing experiment"	"Cell_line_mixing"	100
"MCF10A"	1	"SnapATAC2_jaccard"	"Cell line mixing experiment"	"Cell_line_mixing"	100
"MCF7"	1	"SnapATAC2_jaccard"	"Cell line mixing experiment"	"Cell_line_mixing"	100
"T24"	1	"SnapATAC2_jaccard"	"Cell line mixing experiment"	"Cell_line_mixing"	100
"THP1"	0.740484429065744	"SnapATAC2_jaccard"	"Cell line mixing experiment"	"Cell_line_mixing"	100
"293T"	0	"SnapATAC2_cosine"	"Cell line mixing experiment"	"Cell_line_mixing"	30
"GM12878"	0.372142252328535	"SnapATAC2_cosine"	"Cell line mixing experiment"	"Cell_line_mixing"	30
"HT1080"	0.194035485088713	"SnapATAC2_cosine"	"Cell line mixing experiment"	"Cell_line_mixing"	30
"HeLa"	0.627701808557565	"SnapATAC2_cosine"	"Cell line mixing experiment"	"Cell_line_mixing"	30
"Jurkat"	0.0105773468488321	"SnapATAC2_cosine"	"Cell line mixing experiment"	"Cell_line_mixing"	30
"K562"	0.102442868400315	"SnapATAC2_cosine"	"Cell line mixing experiment"	"Cell_line_mixing"	30
"MCF10A"	0.301960784313725	"SnapATAC2_cosine"	"Cell line mixing experiment"	"Cell_line_mixing"	30
"MCF7"	0.238775510204082	"SnapATAC2_cosine"	"Cell line mixing experiment"	"Cell_line_mixing"	30
"T24"	1	"SnapATAC2_cosine"	"Cell line mixing experiment"	"Cell_line_mixing"	30
"THP1"	0.0173010380622837	"SnapATAC2_cosine"	"Cell line mixing experiment"	"Cell_line_mixing"	30
"293T"	0	"SnapATAC2_cosine"	"Cell line mixing experiment"	"Cell_line_mixing"	50
"GM12878"	0.732853513971211	"SnapATAC2_cosine"	"Cell line mixing experiment"	"Cell_line_mixing"	50
"HT1080"	0.97923744809362	"SnapATAC2_cosine"	"Cell line mixing experiment"	"Cell_line_mixing"	50
"HeLa"	1	"SnapATAC2_cosine"	"Cell line mixing experiment"	"Cell_line_mixing"	50
"Jurkat"	0.0193918025561922	"SnapATAC2_cosine"	"Cell line mixing experiment"	"Cell_line_mixing"	50
"K562"	0.379826635145784	"SnapATAC2_cosine"	"Cell line mixing experiment"	"Cell_line_mixing"	50
"MCF10A"	0.952941176470588	"SnapATAC2_cosine"	"Cell line mixing experiment"	"Cell_line_mixing"	50
"MCF7"	0.793877551020408	"SnapATAC2_cosine"	"Cell line mixing experiment"	"Cell_line_mixing"	50
"T24"	1	"SnapATAC2_cosine"	"Cell line mixing experiment"	"Cell_line_mixing"	50
"THP1"	0.0807381776239908	"SnapATAC2_cosine"	"Cell line mixing experiment"	"Cell_line_mixing"	50
"293T"	0	"SnapATAC2_cosine"	"Cell line mixing experiment"	"Cell_line_mixing"	100
"GM12878"	0.997036409822185	"SnapATAC2_cosine"	"Cell line mixing experiment"	"Cell_line_mixing"	100
"HT1080"	1	"SnapATAC2_cosine"	"Cell line mixing experiment"	"Cell_line_mixing"	100
"HeLa"	1	"SnapATAC2_cosine"	"Cell line mixing experiment"	"Cell_line_mixing"	100
"Jurkat"	0.150286469810489	"SnapATAC2_cosine"	"Cell line mixing experiment"	"Cell_line_mixing"	100
"K562"	0.985815602836879	"SnapATAC2_cosine"	"Cell line mixing experiment"	"Cell_line_mixing"	100
"MCF10A"	1	"SnapATAC2_cosine"	"Cell line mixing experiment"	"Cell_line_mixing"	100
"MCF7"	0.997959183673469	"SnapATAC2_cosine"	"Cell line mixing experiment"	"Cell_line_mixing"	100
"T24"	1	"SnapATAC2_cosine"	"Cell line mixing experiment"	"Cell_line_mixing"	100
"THP1"	0.854671280276817	"SnapATAC2_cosine"	"Cell line mixing experiment"	"Cell_line_mixing"	100
"Alveolar_Type_1_Cell"	0.164319248826291	"Signac_all_cell_peaks"	"human adult atlas subset1"	"candidate1"	30
"Colonic_Goblet_Cell"	0.0648648648648649	"Signac_all_cell_peaks"	"human adult atlas subset1"	"candidate1"	30
"Esophageal_Epithelial_Cell"	1	"Signac_all_cell_peaks"	"human adult atlas subset1"	"candidate1"	30
"Hepatocyte"	0.00058411214953271	"Signac_all_cell_peaks"	"human adult atlas subset1"	"candidate1"	30
"Luteal_Cell_Ovarian"	0.00112359550561798	"Signac_all_cell_peaks"	"human adult atlas subset1"	"candidate1"	30
"Mammary_Epithelial"	0.0634231103388358	"Signac_all_cell_peaks"	"human adult atlas subset1"	"candidate1"	30
"Pancreatic_Acinar_Cell"	0	"Signac_all_cell_peaks"	"human adult atlas subset1"	"candidate1"	30
"Parietal_Cell"	0.0692431561996779	"Signac_all_cell_peaks"	"human adult atlas subset1"	"candidate1"	30
"Small_Intestinal_Enterocyte"	0.214953271028037	"Signac_all_cell_peaks"	"human adult atlas subset1"	"candidate1"	30
"Smooth_Muscle_GE_Junction"	0.144578313253012	"Signac_all_cell_peaks"	"human adult atlas subset1"	"candidate1"	30
"Thyroid_Follicular_Cell"	0.000374672161858374	"Signac_all_cell_peaks"	"human adult atlas subset1"	"candidate1"	30
"Type_I_Skeletal_Myocyte"	0.00149625935162095	"Signac_all_cell_peaks"	"human adult atlas subset1"	"candidate1"	30
"Vascular_Smooth_Muscle_1"	0.0234741784037559	"Signac_all_cell_peaks"	"human adult atlas subset1"	"candidate1"	30
"Alveolar_Type_1_Cell"	0.192488262910798	"Signac_all_cell_peaks"	"human adult atlas subset1"	"candidate1"	50
"Colonic_Goblet_Cell"	0.0648648648648649	"Signac_all_cell_peaks"	"human adult atlas subset1"	"candidate1"	50
"Esophageal_Epithelial_Cell"	1	"Signac_all_cell_peaks"	"human adult atlas subset1"	"candidate1"	50
"Hepatocyte"	0	"Signac_all_cell_peaks"	"human adult atlas subset1"	"candidate1"	50
"Luteal_Cell_Ovarian"	0	"Signac_all_cell_peaks"	"human adult atlas subset1"	"candidate1"	50
"Mammary_Epithelial"	0.0799304952215465	"Signac_all_cell_peaks"	"human adult atlas subset1"	"candidate1"	50
"Pancreatic_Acinar_Cell"	0	"Signac_all_cell_peaks"	"human adult atlas subset1"	"candidate1"	50
"Parietal_Cell"	0.0756843800322061	"Signac_all_cell_peaks"	"human adult atlas subset1"	"candidate1"	50
"Small_Intestinal_Enterocyte"	0.222741433021807	"Signac_all_cell_peaks"	"human adult atlas subset1"	"candidate1"	50
"Smooth_Muscle_GE_Junction"	0.166666666666667	"Signac_all_cell_peaks"	"human adult atlas subset1"	"candidate1"	50
"Thyroid_Follicular_Cell"	0.00262270513300862	"Signac_all_cell_peaks"	"human adult atlas subset1"	"candidate1"	50
"Type_I_Skeletal_Myocyte"	0.00149625935162095	"Signac_all_cell_peaks"	"human adult atlas subset1"	"candidate1"	50
"Vascular_Smooth_Muscle_1"	0.0529236022193769	"Signac_all_cell_peaks"	"human adult atlas subset1"	"candidate1"	50
"Alveolar_Type_1_Cell"	0.248826291079812	"Signac_all_cell_peaks"	"human adult atlas subset1"	"candidate1"	100
